id;biz_item_id;origin_dep;category_name;category_code;term_name;term_code;share_type;open_attr;del_flag;create_time;create_by_id;create_by_name;create_by_org_id;create_by_org_name;last_up_time;last_up_id;last_up_name
1;seamless;invoice input Lodge;Avon Web;Awesome Cotton Chicken;azure content XML;Mouse;Bacon;Ergonomic;false;2020-08-20T01:28:53;Licensed Wooden Bacon Wooden Reverse-eng;JSON hierarchy;Representative;Borders;2020-08-20T00:44:57;Investor pricing structure Tactics;Proactive Swiss Franc bluetooth
2;Fish;Networked Lao People;Nauru deposit Bedfordshire;calculate Toys;Grocery Computer;Fundamental structure Reunion;Hong Kong Dollar SMT;Fully-configurable i;true;2020-08-19T20:57:06;Manager FTP;Planner salmon;Rustic Frozen Shirt;Bosnia and Herzegovina Metal;2020-08-19T18:17:03;override back-end Global;Steel
3;Rwanda Delaware Mouse;software quantify in;clicks-and-mortar Avon Chad;Clothing Fiji Steel;virtual olive B2C;coherent;1080p neural-net Glo;Visionary;true;2020-08-20T09:09:17;GB groupware calculating;Planner programming Liaison;quantifying;HTTP;2020-08-20T03:49:11;Handcrafted Cross-platform;Borders
4;Virtual El Salvador Colon US Dollar;yellow Prairie;even-keeled;Plastic Unbranded Cotton Towels;International Spurs;Polarised quantify;Handmade Metal Keybo;copying;true;2020-08-19T23:01:35;generate;virtual;Music EXE Money Market Account;silver;2020-08-20T03:26:48;matrix THX Madagascar;reinvent Executive Direct
5;grey;Steel XML;Savings Account expedite full-range;e-commerce;primary Pennsylvania European Unit of Account 9(E.;6th generation Angola;Street Outdoors arra;Rustic Fresh Compute;true;2020-08-19T21:47:56;Home Loan Account GB Frozen;SDD haptic help-desk;Pants invoice;backing up Ergonomic Concrete Salad Books;2020-08-20T09:05:09;orange Meadow;mindshare Reduced Granite
6;Malaysia;local parsing;IB optical Ball;Oklahoma Concrete;plug-and-play Kids Baby;bandwidth aggregate Frozen;Savings Account Opti;Virginia;true;2020-08-19T16:22:52;back-end Bike;Savings Account withdrawal;redefine;connecting Outdoors Bedfordshire;2020-08-19T23:35:36;Berkshire Program;Research Congolese Franc auxiliary
7;Island TCP Refined Metal Shoes;olive Practical Wood;customized connect Square;pixel Infrastructure;yellow purple;Agent Awesome transmit;Intelligent Metal Ch;projection Investmen;false;2020-08-19T20:23:07;Chief;evolve Optional;matrix Guadeloupe;eco-centric;2020-08-20T07:01:19;protocol;circuit Kenyan Shilling olive
8;aggregate;copy solid state Fis;Row JSON;Kansas Kip Industrial;compressing Intelligent;Fantastic Comoros Forward;robust;Iraq envisioneer Aut;true;2020-08-19T14:20:26;override;Industrial deliverables;Accountability;Associate;2020-08-20T12:07:18;Ukraine Handcrafted Fresh Computer Franc;Mouse Handcrafted Intelligent
9;value-added Buckinghamshire open-source;Music Solutions Gorg;Rustic programming Applications;haptic neutral Roads;application;application;invoice;Iceland Krona Extend;false;2020-08-20T00:30:29;Soft Kuwaiti Dinar;monetize SDD AGP;Checking Account Granite;web services Auto Loan Account systematic;2020-08-19T23:01:48;withdrawal users architect;Buckinghamshire Rue generating
10;Personal Loan Account Central value-adde;engage Berkshire GB;New Leu salmon systematic;Checking Account quantify;Tasty Soft Salad;complexity;Frozen Berkshire Gen;Turkey;false;2020-08-19T17:34:32;deposit;protocol;solid state;ivory zero administration attitude-oriented;2020-08-19T16:11:58;support Solutions;generating Soap Central African Republic
